"Year","DOY","Sat","N_notNA","N_notNA_outliersRem","chl_mean_all","chl_median_all","chl_mean_or","chl_median_or","chl_mean_near","chl_median_near","chl_mean_near_or","chl_median_near_or","file"
2015,312,"A",178,59,194.483504512337,175.542472839355,92.9723602311086,112.603294372559,190.001634216309,184.206497192383,144.454208374023,144.454208374023,"A2015312190000.L2_LAC_OC"
2016,100,"A",511,471,59.438309469612,42.0687561035156,45.8169722909349,40.2020797729492,43.3246201409234,43.1841125488281,43.3246201409234,43.1841125488281,"A2016100185500.L2_LAC_OC"
2016,103,"A",193,171,63.5452028383245,27.0107517242432,39.6355487087317,21.5332450866699,131.95240020752,131.629028320312,60.8193283081055,60.8193283081055,"A2016103192500.L2_LAC_OC"
2016,105,"A",109,109,7.11832466694193,4.12552499771118,7.11832466694193,4.12552499771118,3.58157631329128,3.62396860122681,3.58157631329128,3.62396860122681,"A2016105191500.L2_LAC_OC"
2016,106,"A",81,80,14.6483441076161,10.0470209121704,12.6838947743177,9.96464967727661,6.80422639846802,6.80422639846802,6.80422639846802,6.80422639846802,"A2016106182000.L2_LAC_OC"
2015,215,"T",129,92,104.401664345763,43.3027877807617,40.0726147890091,20.3613119125366,270.404117584229,271.126998901367,NA,NA,"T2015215164000.L2_LAC_OC"
2015,233,"T",97,87,66.5730061776859,30.4100131988525,39.5144247625066,24.9680099487305,NA,NA,NA,NA,"T2015233162500.L2_LAC_OC"
2015,256,"T",67,55,83.2380479414072,41.7988128662109,49.5181259328669,29.0951251983643,NA,NA,NA,NA,"T2015256163000.L2_LAC_OC"
2015,284,"T",72,54,110.685936828454,64.7132034301758,48.5861305042549,39.1008548736572,NA,NA,NA,NA,"T2015284165500.L2_LAC_OC"
2015,295,"T",27,24,78.5768966144986,29.3301792144775,46.7347020506859,23.8617448806763,NA,NA,NA,NA,"T2015295164000.L2_LAC_OC"
2015,298,"T",34,30,63.3591068632462,31.5063552856445,36.7615923722585,26.3272686004639,NA,NA,NA,NA,"T2015298171000.L2_LAC_OC"
2015,313,"T",8,5,127.925266742706,68.0273723602295,36.4582099914551,18.8516292572021,NA,NA,NA,NA,"T2015313162500.L2_LAC_OC"
2016,108,"T",105,104,20.1202900228046,10.5859270095825,17.7970638756569,10.478111743927,11.2926044464111,11.2926044464111,11.2926044464111,11.2926044464111,"T2016108162500.L2_LAC_OC"
2015,94,"A",153,151,14.1933821511738,5.00770711898804,11.1041197494483,4.98788118362427,3.91412925720215,3.91412925720215,3.91412925720215,3.91412925720215,"A2015094182500.L2_LAC_OC"
2015,113,"A",499,496,20.1130403457489,15.0012121200562,18.6700716583929,14.9674830436707,22.4904298782349,22.0189352035522,22.4904298782349,22.0189352035522,"A2015113185500.L2_LAC_OC"
2015,118,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2015118191500.L2_LAC_OC"
2015,120,"A",400,393,30.2370275533205,21.1854333877563,26.9990344290218,21.0642414093018,19.275452041626,19.5427179336548,19.275452041626,19.5427179336548,"A2015120190500.L2_LAC_OC"
2015,122,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2015122185000.L2_LAC_OC"
2015,138,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2015138185000.L2_LAC_OC"
2015,141,"A",149,113,100.762929190125,56.7211875915527,46.6099734393369,40.4379920959473,NA,NA,NA,NA,"A2015141192000.L2_LAC_OC"
2015,157,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2015157192000.L2_LAC_OC"
2015,161,"A",268,206,99.6250848663387,56.0752601623535,52.06561431607,44.2105159759521,NA,NA,NA,NA,"A2015161185500.L2_LAC_OC"
2015,170,"A",322,227,118.067556878795,89.784782409668,62.1966952185274,49.656982421875,137.572416033064,129.660446166992,98.1391204833984,90.587532043457,"A2015170185000.L2_LAC_OC"
2015,206,"A",187,163,66.6095202772375,45.9801712036133,44.1772112144283,37.7635345458984,252.82544708252,252.82544708252,149.969680786133,149.969680786133,"A2015206182500.L2_LAC_OC"
2015,87,"T",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"T2015087164000.L2_LAC_OC"
2015,101,"T",535,525,31.4173373520931,21.2788181304932,28.1023073636918,20.5117931365967,43.9939086914062,44.4334869384766,43.9939086914062,44.4334869384766,"T2015101165000.L2_LAC_OC"
2015,117,"T",472,415,71.3128266991195,45.4857196807861,46.1909572658769,25.4823513031006,139.293017994274,141.110946655273,127.066838264465,127.647598266602,"T2015117165000.L2_LAC_OC"
2015,133,"T",266,227,77.2448814488891,43.27467918396,44.9930777843828,33.9389801025391,NA,NA,NA,NA,"T2015133165000.L2_LAC_OC"
2015,142,"T",117,98,89.7856706554054,63.019344329834,56.8461311982603,47.6823501586914,NA,NA,NA,NA,"T2015142164500.L2_LAC_OC"
2015,152,"T",90,81,60.1444304678175,35.9560356140137,43.3201473966057,31.717809677124,NA,NA,NA,NA,"T2015152172000.L2_LAC_OC"
2015,153,"T",115,96,93.737894993243,55.8269538879395,54.5974507207672,44.6617546081543,NA,NA,NA,NA,"T2015153162500.L2_LAC_OC"
2015,167,"T",102,86,83.3711644434461,54.4307479858398,52.8359354706698,42.7580852508545,221.997604370117,221.997604370117,NA,NA,"T2015167164000.L2_LAC_OC"
2015,174,"T",246,195,96.672179939301,57.6016063690186,49.1121296564738,33.5570945739746,NA,NA,NA,NA,"T2015174164500.L2_LAC_OC"
2015,202,"T",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"T2015202171000.L2_LAC_OC"
2015,206,"T",253,234,55.8131342254608,28.5389747619629,39.4149836902944,26.2713384628296,60.3721401691437,55.2156658172607,60.3721401691437,55.2156658172607,"T2015206164500.L2_LAC_OC"
2014,144,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014144184500.L2_LAC_OC"
2014,145,"A",0,0,NA,NA,NA,NA,NA,NA,NA,NA,"A2014145192500.L2_LAC_OC"
